"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Indonesia","IDN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","14870220","15519557","16140125","16643900","16892010","17776616","18779944","19783270","22024820","","","25537052","27026488","27990276","29108580","29909188","29897116","29882556","29999990","30130564","29933790","29753576","29577704","29598790","29876196","29721860","29447990","29236284","29273302","29294928","28508964","28690132","28926376","29050834","29142092","29149746","28982708","29796704","29498266","29901052","30341821","30662441","30784378","30039450","29794400","29699771","29438773","29339177","29367137","29120793","29329969","29241826","28829725","28619329","28994990",
"Indonesia","IDN","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","14.0500001907349","","","","","","","","","19.4899997711182","","","","","","","","","","","46.3692772265577","46.2850860417233","48.6790550518122","49.9283494772821","","57.5257931411829","55.8781203999912","60.1633785020398","62.3453164568334","65.3085322530551","","","","","","74.0599975585938","66.1999969482422","67.370002746582","67.9899978637695","69.6649098282052","69.7300033569336","70.8069913984706","72.2677571753533","72.3300018310547","73.620002746582","76.5500030517578","74.1445922851562","74.9199981689453","77.293810215155","78.879997253418","82.3444187393014","80.4424313065094","81.1035966749599","",
"Indonesia","IDN","Primary school starting age (years)","SE.PRM.AGES","","","","","","","","","","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7",
"Indonesia","IDN","School enrollment, preprimary, male (% gross)","SE.PRE.ENRR.MA","","","","","","","","","","","","5.81068992614746","5.19186019897461","5.33258008956909","4.84794998168945","5.95742988586426","","6.51827001571655","","8.24450016021729","","","","","","","","","","","","","","","","18.1031303405762","18.3026695251465","","","22.7341499328613","23.6941299438477","24.0311298370361","24.0929393768311","24.9911499023438","25.8913497924805","31.035400390625","34.0829811096191","39.9447288513184","42.8119201660156","44.2560005187988","40.5448608398438","41.8012886047363","49.1220703125","53.4271392822266","56.996898651123","","64.8138122558594","66.2654724121094","65.4104919433594","","","","","","",
"Indonesia","IDN","Preprimary education, duration (years)","SE.PRE.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7",
"Indonesia","IDN","Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","SE.LPV.PRIM.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8068695068359","","","","","","","","","",
"Indonesia","IDN","Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","SE.LPV.PRIM.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6971168518066","","","","","","","","","",
"Indonesia","IDN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.806020021438599","0.800249993801117","0.79926997423172","0.786870002746582","0.772750020027161","0.816940009593964","0.83704000711441","0.837080001831055","0.839699983596802","","","0.839999973773956","0.858730018138886","0.897849977016449","0.900730013847351","","","","0.908429980278015","0.922969996929169","0.930589973926544","0.938650012016296","0.945789992809296","0.928030014038086","0.934509992599487","0.93189001083374","0.93163001537323","","","0.964850008487701","0.970269978046417","0.978320002555847","0.980740010738373","0.982840001583099","0.986850023269653","0.975489974021912","0.982860028743744","0.978890001773834","0.984170019626617","0.9826700091362","1.02081000804901","1.02225995063782","1.00821995735168","0.984489977359772","0.982280015945435","0.985639989376068","0.995899975299835","0.993650019168854","0.993399977684021","","","","","","",
"Indonesia","IDN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","77.4800033569336","","","","","","","","","","88.0199966430664","","","","","","","","","","","","","","94.0400009155273","","95.1600036621094","","95.379997253418","95.6500015258789","94.7600021362305","95.5899963378906","","","96.7900009155273","97.1100006103516","97.1699981689453","","97.3300018310547","","97.4499969482422","","","","",
"Indonesia","IDN","Literacy rate, youth (ages 15-24), gender parity index (GPI)","SE.ADT.1524.LT.FM.ZS","","","","","","","","","","","","","","","","","","","","","0.910000026226044","","","","","","","","","","0.980000019073486","","","","","","","","","","","","","","1","","0.990000009536743","","1","1","1","1","","","1","1","1","0.993595540523529","1","","1","","1.01910901069641","","",
